date,value
2002-01,58.717
2002-02,58.768
2002-03,59.253
2002-04,60.058
2002-05,60.274
2002-06,60.277
2002-07,59.858
2002-08,60.03
2002-09,60.255
2002-10,60.851
2002-11,60.946
2002-12,61.148
2003-01,60.896
2003-02,61.026
2003-03,61.449
2003-04,61.949
2003-05,61.892
2003-06,61.933
2003-07,61.545
2003-08,61.827
2003-09,62.011
2003-10,62.429
2003-11,62.633
2003-12,62.74
2004-01,62.3
2004-02,62.329
2004-03,62.764
2004-04,63.623
2004-05,63.999
2004-06,64.1
2004-07,63.614
2004-08,63.895
2004-09,64.009
2004-10,64.667
2004-11,64.828
2004-12,64.765
2005-01,64.219
2005-02,64.386
2005-03,64.895
2005-04,65.83
2005-05,65.956
2005-06,66.11
2005-07,65.705
2005-08,65.994
2005-09,66.399
2005-10,66.939
2005-11,67.04
2005-12,67.184
2006-01,66.912
2006-02,66.944
2006-03,67.418
2006-04,68.369
2006-05,68.615
2006-06,68.719
2006-07,68.31
2006-08,68.45
2006-09,68.337
2006-10,68.618
2006-11,68.787
2006-12,68.976
2007-01,68.512
2007-02,68.559
2007-03,69.079
2007-04,70.033
2007-05,70.225
2007-06,70.354
2007-07,69.843
2007-08,69.938
2007-09,70.168
2007-10,71.077
2007-11,71.587
2007-12,71.887
2008-01,71.442
2008-02,71.553
2008-03,72.188
2008-04,72.965
2008-05,73.458
2008-06,73.881
2008-07,73.526
2008-08,73.368
2008-09,73.353
2008-10,73.605
2008-11,73.293
2008-12,72.917
2009-01,72.018
2009-02,72.026
2009-03,72.144
2009-04,72.849
2009-05,72.823
2009-06,73.144
2009-07,72.52
2009-08,72.773
2009-09,72.601
2009-10,73.119
2009-11,73.515
2009-12,73.496
2010-01,72.759
2010-02,72.627
2010-03,73.165
2010-04,73.944
2010-05,74.109
2010-06,74.241
2010-07,73.909
2010-08,74.095
2010-09,74.146
2010-10,74.824
2010-11,75.23
2010-12,75.692
2011-01,75.138
2011-02,75.234
2011-03,75.796
2011-04,76.739
2011-05,76.714
2011-06,76.606
2011-07,76.194
2011-08,76.289
2011-09,76.475
2011-10,77.078
2011-11,77.391
2011-12,77.492
2012-01,76.639
2012-02,76.719
2012-03,77.235
2012-04,78.32
2012-05,78.204
2012-06,78.058
2012-07,77.876
2012-08,78.314
2012-09,79.085
2012-10,79.757
2012-11,79.658
2012-12,79.714
2013-01,78.695
2013-02,78.832
2013-03,79.109
2013-04,79.405
2013-05,79.551
2013-06,79.669
2013-07,79.258
2013-08,79.504
2013-09,79.355
2013-10,79.678
2013-11,79.844
2013-12,79.915
2014-01,78.852
2014-02,78.818
2014-03,78.994
2014-04,79.697
2014-05,79.715
2014-06,79.737
2014-07,78.987
2014-08,79.112
2014-09,79.233
2014-10,79.602
2014-11,79.547
2014-12,79.083
2015-01,77.812
2015-02,77.972
2015-03,78.47
2015-04,79.191
2015-05,79.569
2015-06,79.782
2015-07,79.041
2015-08,78.779
2015-09,78.536
2015-10,79.039
2015-11,79.329
2015-12,79.097
2016-01,77.588
2016-02,77.314
2016-03,77.81
2016-04,78.355
2016-05,78.783
2016-06,79.148
2016-07,78.572
2016-08,78.673
2016-09,78.677
2016-10,79.576
2016-11,79.864
2016-12,80.338
2017-01,79.896
2017-02,79.608
2017-03,79.592
2017-04,80.356
2017-05,80.308
2017-06,80.343
2017-07,79.788
2017-08,79.947
2017-09,80.086
2017-10,80.825
2017-11,81.194
2017-12,81.231
2018-01,80.355
2018-02,80.463
2018-03,80.558
2018-04,81.224
2018-05,81.956
2018-06,82.17
2018-07,81.581
2018-08,81.697
2018-09,81.897
2018-10,82.654
2018-11,82.563
2018-12,82.193
2019-01,81.142
2019-02,81.34
2019-03,81.636
2019-04,82.459
2019-05,82.619
2019-06,82.522
2019-07,82.011
2019-08,81.965
2019-09,81.965
2019-10,82.76
2019-11,82.9
2019-12,82.84
