date,value
2002-01,19.67
2002-02,20.74
2002-03,24.42
2002-04,26.27
2002-05,27.02
2002-06,25.52
2002-07,26.94
2002-08,28.38
2002-09,29.67
2002-10,28.85
2002-11,26.27
2002-12,29.42
2003-01,32.94
2003-02,35.87
2003-03,33.55
2003-04,28.25
2003-05,28.14
2003-06,30.72
2003-07,30.76
2003-08,31.59
2003-09,28.29
2003-10,30.33
2003-11,31.09
2003-12,32.15
2004-01,34.27
2004-02,34.74
2004-03,36.76
2004-04,36.69
2004-05,40.28
2004-06,38.02
2004-07,40.69
2004-08,44.94
2004-09,45.95
2004-10,53.13
2004-11,48.46
2004-12,43.33
2005-01,46.84
2005-02,47.97
2005-03,54.31
2005-04,53.04
2005-05,49.83
2005-06,56.26
2005-07,58.7
2005-08,64.97
2005-09,65.57
2005-10,62.37
2005-11,58.3
2005-12,59.43
2006-01,65.51
2006-02,61.63
2006-03,62.9
2006-04,69.69
2006-05,70.94
2006-06,70.96
2006-07,74.41
2006-08,73.05
2006-09,63.87
2006-10,58.88
2006-11,59.37
2006-12,62.03
2007-01,54.57
2007-02,59.26
2007-03,60.56
2007-04,63.97
2007-05,63.46
2007-06,67.48
2007-07,74.18
2007-08,72.39
2007-09,79.93
2007-10,86.2
2007-11,94.62
2007-12,91.73
2008-01,92.95
2008-02,95.35
2008-03,105.56
2008-04,112.57
2008-05,125.39
2008-06,133.93
2008-07,133.44
2008-08,116.61
2008-09,103.9
2008-10,76.65
2008-11,57.44
2008-12,41.02
2009-01,41.74
2009-02,39.16
2009-03,47.98
2009-04,49.79
2009-05,59.16
2009-06,69.68
2009-07,64.09
2009-08,71.06
2009-09,69.46
2009-10,75.82
2009-11,78.08
2009-12,74.3
2010-01,78.22
2010-02,76.42
2010-03,81.24
2010-04,84.48
2010-05,73.84
2010-06,75.35
2010-07,76.37
2010-08,76.82
2010-09,75.31
2010-10,81.9
2010-11,84.14
2010-12,89.04
2011-01,89.42
2011-02,89.58
2011-03,102.94
2011-04,110.04
2011-05,101.33
2011-06,96.29
2011-07,97.19
2011-08,86.33
2011-09,85.61
2011-10,86.41
2011-11,97.21
2011-12,98.57
2012-01,100.24
2012-02,102.25
2012-03,106.19
2012-04,103.33
2012-05,94.7
2012-06,82.41
2012-07,87.93
2012-08,94.16
2012-09,94.72
2012-10,89.57
2012-11,86.66
2012-12,88.25
2013-01,94.69
2013-02,95.32
2013-03,93.05
2013-04,92.07
2013-05,94.8
2013-06,95.8
2013-07,104.61
2013-08,106.57
2013-09,106.29
2013-10,100.54
2013-11,93.86
2013-12,97.63
2014-01,94.62
2014-02,100.82
2014-03,100.8
2014-04,102.07
2014-05,102.18
2014-06,105.79
2014-07,103.59
2014-08,96.54
2014-09,93.21
2014-10,84.4
2014-11,75.79
2014-12,59.29
2015-01,47.22
2015-02,50.58
2015-03,47.82
2015-04,54.45
2015-05,59.27
2015-06,59.82
2015-07,50.9
2015-08,42.87
2015-09,45.48
2015-10,46.22
2015-11,42.44
2015-12,37.19
2016-01,31.68
2016-02,30.32
2016-03,37.55
2016-04,40.75
2016-05,46.71
2016-06,48.76
2016-07,44.65
2016-08,44.72
2016-09,45.18
2016-10,49.78
2016-11,45.66
2016-12,51.97
2017-01,52.5
2017-02,53.47
2017-03,49.33
2017-04,51.06
2017-05,48.48
2017-06,45.18
2017-07,46.63
2017-08,48.04
2017-09,49.82
2017-10,51.58
2017-11,56.64
2017-12,57.88
2018-01,63.7
2018-02,62.23
2018-03,62.73
2018-04,66.25
2018-05,69.98
2018-06,67.87
2018-07,70.98
2018-08,68.06
2018-09,70.23
2018-10,70.75
2018-11,56.96
2018-12,49.52
2019-01,51.38
2019-02,54.95
2019-03,58.15
2019-04,63.86
2019-05,60.83
2019-06,54.66
2019-07,57.35
2019-08,54.81
2019-09,56.95
2019-10,53.96
2019-11,57.03
2019-12,59.88
